REF_DATE,VALUE,from,dim_trad,dim_mode,dim_years,dim_type,to
2008,20,1,1,1,1,1,9
2008,5,1,1,1,1,1,10
2008,5,1,1,1,2,1,3
2008,5,1,1,1,2,1,6
2008,15,1,1,1,2,1,9
2008,5,1,1,1,2,1,11
2008,5,1,2,1,1,1,9
2008,25,1,4,1,1,1,9
2008,5,1,4,1,1,1,10
2008,5,1,4,1,2,1,3
2008,5,1,4,1,2,1,6
2008,15,1,4,1,2,1,9
2008,5,1,4,1,2,1,11
2008,5,2,1,1,1,1,9
2008,5,2,1,1,2,1,4
2008,10,2,1,1,2,1,9
2008,5,2,4,1,1,1,9
2008,5,2,4,1,2,1,4
2008,10,2,4,1,2,1,9
2008,5,3,1,1,1,1,4
2008,5,3,1,1,1,1,6
2008,20,3,1,1,1,1,9
2008,5,3,1,1,1,1,10
2008,5,3,1,1,2,1,4
2008,15,3,1,1,2,1,9
2008,5,3,1,1,2,1,10
2008,5,3,2,1,1,1,9
2008,5,3,2,1,2,1,4
2008,5,3,2,1,2,1,6
2008,5,3,2,1,2,1,9
2008,5,3,4,1,1,1,4
2008,5,3,4,1,1,1,6
2008,25,3,4,1,1,1,9
2008,5,3,4,1,1,1,10
2008,10,3,4,1,2,1,4
2008,5,3,4,1,2,1,6
2008,20,3,4,1,2,1,9
2008,5,3,4,1,2,1,10
2008,5,4,1,1,1,1,3
2008,5,4,1,1,1,1,5
2008,5,4,1,1,1,1,9
2008,5,4,1,1,2,1,5
2008,5,4,1,1,2,1,9
2008,5,4,2,1,2,1,9
2008,5,4,4,1,1,1,3
2008,5,4,4,1,1,1,5
2008,5,4,4,1,1,1,9
2008,5,4,4,1,2,1,5
2008,10,4,4,1,2,1,9
2008,5,5,1,1,1,1,6
2008,5,5,1,1,1,1,9
2008,5,5,1,1,2,1,6
2008,5,5,1,1,2,1,9
2008,10,5,2,1,1,1,9
2008,5,5,2,1,2,1,9
2008,5,5,3,1,1,1,4
2008,35,5,3,1,1,1,6
2008,5,5,3,1,2,1,4
2008,30,5,3,1,2,1,6
2008,5,5,3,1,2,1,9
2008,5,5,3,1,2,1,10
2008,5,5,4,1,1,1,4
2008,40,5,4,1,1,1,6
2008,15,5,4,1,1,1,9
2008,5,5,4,1,2,1,4
2008,35,5,4,1,2,1,6
2008,15,5,4,1,2,1,9
2008,5,5,4,1,2,1,10
2008,5,6,1,1,1,1,1
2008,5,6,1,1,1,1,3
2008,20,6,1,1,1,1,5
2008,5,6,1,1,1,1,8
2008,55,6,1,1,1,1,9
2008,30,6,1,1,1,1,10
2008,10,6,1,1,2,1,1
2008,5,6,1,1,2,1,3
2008,25,6,1,1,2,1,5
2008,5,6,1,1,2,1,7
2008,15,6,1,1,2,1,8
2008,70,6,1,1,2,1,9
2008,35,6,1,1,2,1,10
2008,5,6,1,1,2,1,11
2008,5,6,2,1,1,1,4
2008,20,6,2,1,1,1,5
2008,20,6,2,1,1,1,9
2008,15,6,2,1,1,1,10
2008,5,6,2,1,2,1,1
2008,5,6,2,1,2,1,3
2008,15,6,2,1,2,1,5
2008,5,6,2,1,2,1,8
2008,30,6,2,1,2,1,9
2008,15,6,2,1,2,1,10
2008,5,6,3,1,1,1,1
2008,5,6,3,1,1,1,3
2008,30,6,3,1,1,1,5
2008,5,6,3,1,1,1,8
2008,10,6,3,1,1,1,9
2008,5,6,3,1,1,1,10
2008,30,6,3,1,2,1,5
2008,5,6,3,1,2,1,7
2008,10,6,3,1,2,1,9
2008,10,6,3,1,2,1,10
2008,10,6,4,1,1,1,1
2008,10,6,4,1,1,1,3
2008,5,6,4,1,1,1,4
2008,70,6,4,1,1,1,5
2008,10,6,4,1,1,1,8
2008,85,6,4,1,1,1,9
2008,50,6,4,1,1,1,10
2008,15,6,4,1,2,1,1
2008,10,6,4,1,2,1,3
2008,70,6,4,1,2,1,5
2008,10,6,4,1,2,1,7
2008,20,6,4,1,2,1,8
2008,110,6,4,1,2,1,9
2008,60,6,4,1,2,1,10
2008,5,6,4,1,2,1,11
2008,5,7,1,1,1,1,6
2008,5,7,1,1,1,1,8
2008,5,7,1,1,1,1,9
2008,5,7,1,1,1,1,10
2008,5,7,1,1,2,1,3
2008,5,7,1,1,2,1,6
2008,10,7,1,1,2,1,8
2008,10,7,1,1,2,1,9
2008,5,7,1,1,2,1,10
2008,5,7,2,1,1,1,6
2008,5,7,2,1,1,1,8
2008,5,7,2,1,1,1,9
2008,10,7,2,1,2,1,6
2008,5,7,2,1,2,1,8
2008,5,7,2,1,2,1,9
2008,10,7,3,1,1,1,6
2008,5,7,3,1,1,1,9
2008,10,7,3,1,2,1,6
2008,5,7,3,1,2,1,8
2008,5,7,3,1,2,1,9
2008,20,7,4,1,1,1,6
2008,10,7,4,1,1,1,8
2008,15,7,4,1,1,1,9
2008,5,7,4,1,1,1,10
2008,5,7,4,1,2,1,3
2008,25,7,4,1,2,1,6
2008,20,7,4,1,2,1,8
2008,20,7,4,1,2,1,9
2008,5,7,4,1,2,1,10
2008,5,8,1,1,1,1,7
2008,15,8,1,1,1,1,9
2008,5,8,1,1,2,1,6
2008,5,8,1,1,2,1,7
2008,20,8,1,1,2,1,9
2008,5,8,1,1,2,1,10
2008,10,8,2,1,1,1,9
2008,5,8,2,1,2,1,7
2008,10,8,2,1,2,1,9
2008,5,8,4,1,1,1,7
2008,25,8,4,1,1,1,9
2008,5,8,4,1,2,1,6
2008,10,8,4,1,2,1,7
2008,30,8,4,1,2,1,9
2008,5,8,4,1,2,1,10
2008,10,9,1,1,1,1,1
2008,5,9,1,1,1,1,3
2008,5,9,1,1,1,1,4
2008,5,9,1,1,1,1,5
2008,20,9,1,1,1,1,6
2008,15,9,1,1,1,1,7
2008,85,9,1,1,1,1,8
2008,115,9,1,1,1,1,10
